单词,视觉,明亮度,黑暗度,颜色,图案,大,小,快,慢,复杂度,脸,身体,触摸,热,冷,轻,重,疼痛,响亮,声音,音乐,味觉,嗅觉,头,上肢,下肢,实践,地标,路径,场景,近距离,朝向,远离,数字,持续时间,长,短,造成,后果性,人类,沟通,自我,认知,益处,快乐,悲伤,生气,厌恶,害怕,惊讶,驱动力,需要,注意力,唤醒
光滑,6.266666667,3.533333333,1.666666667,2.5,5.1,2.3,2.8,2.566666667,2.133333333,0,3.2,4.166666667,6.833333333,1.266666667,2.166666667,2.2,1.333333333,1.233333333,1.266666667,2.5,2.033333333,1.7,1.2,1.9,2.966666667,2.3,0,1.233333333,1.9,2.133333333,1.333333333,1.3,1.466666667,1.066666667,1.366666667,1.533333333,3.833333333,0,3.1,2.366666667,1.466666667,1.766666667,1.366666667,3.066666667,2.866666667,1.233333333,1.166666667,1.333333333,1.133333333,1.666666667,1.733333333,2.233333333,2.733333333,1.4
光荣,2.966666667,3.6,1.4,2.6,2.066666667,3.266666667,2.033333333,1.6,2.666666667,0,1.733333333,1.7,1.3,2,1.133333333,1.4,1.866666667,1.1,1.633333333,2.166666667,2,1,1,1.833333333,1.233333333,1.2,0,1,1,1.4,1.033333333,1.233333333,1.133333333,1.2,1.566666667,1.9,2.266666667,0,4,4.733333333,2.666666667,3.8,3.5,5.333333333,5.8,1.266666667,1.166666667,1.133333333,1.133333333,1.466666667,4.333333333,3.466666667,4.666666667,3.3
广播,4.833333333,2.133333333,2,1.7,1.633333333,3.4,2.9,2.2,2.666666667,0,1.6,2.2,1.266666667,1.366666667,1.433333333,2,1.7,1.166666667,4.8,5,3.833333333,1.066666667,1,3.333333333,1.433333333,1.1,2.6,2,1.5,4.1,2.666666667,2,2.5,1.366666667,3.833333333,2,4.2,3.3,3.133333333,5.466666667,5.8,2.266666667,2.533333333,3.233333333,2.5,1.6,1.366666667,1.466666667,1.3,1.4,2.2,1.866666667,3.966666667,2.3
广场,6.6,3.6,1.8,2.966666667,2.866666667,5.066666667,1.766666667,1.166666667,6.733333333,4.366666667,1.666666667,1.333333333,1.666666667,1.5,2.233333333,1.233333333,5.233333333,1.333333333,4.266666667,3.366666667,3.2,1.5,1.633333333,1.5,1.466666667,2.733333333,3.366666667,5.733333333,1.166666667,4.466666667,2.766666667,1.366666667,1.366666667,1.266666667,1.3,4.733333333,1.766666667,3.333333333,2.2,3.733333333,2.566666667,1.333333333,1.3,3.066666667,3.1,1.3,1.3,1.266666667,1.166666667,1.2,1.8,2.3,2.1,1.566666667
广泛,3.6,1.966666667,1.866666667,1.633333333,1.833333333,4.966666667,1.566666667,1.8,2.966666667,0,1.266666667,1.366666667,1.2,1.4,1.366666667,1.3,2.166666667,1.266666667,1.266666667,1.6,1.733333333,1.2,1.6,1.133333333,1.166666667,1.133333333,0,1.233333333,1.233333333,1.466666667,1.166666667,1.133333333,1.3,1.233333333,1.433333333,2.1,2.333333333,0,2.7,3.2,3.1,2.8,1.9,3.566666667,2.7,1.266666667,1.2,1.2,1.133333333,1.433333333,2.033333333,3.233333333,2.133333333,1.833333333
龟,6.766666667,2.966666667,3.633333333,6,5.933333333,1.966666667,4.933333333,1.933333333,5.9,3.5,2.766666667,3.066666667,5.566666667,2.666666667,3.033333333,4.233333333,2.366666667,1.666666667,1.733333333,2.4,1.533333333,2.4,2.9,1.3,1.3,1.4,2.066666667,1.433333333,2.2,3.066666667,1.9,2.233333333,2.333333333,2.333333333,1.966666667,5.566666667,1.7,1.6,1.666666667,1.466666667,1.266666667,1.166666667,1.133333333,1.5,1.566666667,1.4,1.266666667,1.533333333,1.366666667,1.6,1.066666667,1.3,2.666666667,1.5
规则,3.333333333,2.266666667,2.133333333,1.633333333,1.533333333,1.6,2.833333333,1.266666667,4.9,2.366666667,1.3,1.233333333,1.1,1.066666667,1.433333333,1.6,1.2,1.433333333,1.266666667,1.166666667,1,1.1,1,1.433333333,1.433333333,1.2,3.633333333,1.233333333,1.133333333,1.366666667,2.866666667,1.433333333,1.366666667,1.233333333,1.7,3.566666667,2.466666667,4.933333333,4.733333333,5.433333333,3.866666667,1.9,4.066666667,4.233333333,2.366666667,1.7,2.2,1.7,1.666666667,2.166666667,4.4,4.7,2.833333333,1.933333333
贵族,5.166666667,3.5,2.1,2.833333333,2.2,2.9,2.933333333,2.066666667,3.966666667,3.833333333,6.3,6.633333333,2.033333333,3.1,1.566666667,1.933333333,3.5,1.4,2.366666667,2.533333333,2.233333333,1.466666667,1.433333333,1.5,1.466666667,1.866666667,1.5,1.4,1.633333333,3.033333333,1.433333333,1.666666667,1.9,1.3,1.066666667,3.933333333,2.266666667,4.066666667,2.933333333,4.533333333,2.5,4.033333333,2.433333333,2.166666667,2.233333333,1.233333333,2.166666667,2.233333333,1.366666667,1.5,1.5,1.3,2.833333333,1.733333333
锅巴,6.8,2.9,2.266666667,4.733333333,4.466666667,1.566666667,5.766666667,1.133333333,6.433333333,2.166666667,1.166666667,1.233333333,4.333333333,2.533333333,1.866666667,5.1,1.6,1.1,2.366666667,2.533333333,1.466666667,4.933333333,4.7,5.3,2.833333333,1,3.933333333,1.233333333,1.133333333,2.933333333,3.333333333,4.6,1.5,1.1,1.366666667,1.633333333,3.866666667,3.566666667,2.133333333,2.333333333,1.333333333,1.366666667,1.233333333,2.866666667,3.2,1.2,1.166666667,1.433333333,1.266666667,1.233333333,1.666666667,1.666666667,2.1,1.566666667
国家,4.9,3.333333333,1.8,2.266666667,1.966666667,5.733333333,1.166666667,1.166666667,5.766666667,4.666666667,1.933333333,1.733333333,1.2,1.433333333,1.333333333,1.033333333,4,1.2,2.066666667,1.866666667,1.5,1.1,1.1,1.266666667,1.3,1.266666667,3.433333333,5.8,1.366666667,3.9,3.2,1.3,1.266666667,2.633333333,1.433333333,5.966666667,1.233333333,4.166666667,3.966666667,5.333333333,3.1,3,2.833333333,4.866666667,3.966666667,1.166666667,1.4,1.133333333,1.166666667,1.6,3.366666667,5.5,3.2,2.633333333
海参,6.6,2.5,4.1,6.066666667,5,1.8,5.566666667,2.166666667,5.6,3.066666667,1.633333333,1.966666667,4.466666667,2,3.266666667,5,1.7,1.333333333,1.3,1.366666667,1,3.266666667,2.933333333,2.866666667,1.5,1.066666667,2.166666667,1.333333333,1.466666667,3.866666667,2.133333333,3.066666667,1.966666667,1.3,1.733333333,2.4,2.933333333,1.733333333,2.1,1.466666667,1.2,1.2,1.1,2.7,2.366666667,1.266666667,1.3,1.466666667,1.466666667,1.5,1.233333333,1.566666667,2.366666667,1.533333333
海豚,6.7,4.5,2.133333333,6.066666667,4.466666667,3.7,3.2,4.633333333,2.733333333,3.666666667,3.466666667,3.533333333,4.666666667,2.7,3.166666667,2.033333333,4.033333333,1.566666667,3.2,5.2,3.6,2.366666667,2.633333333,1.433333333,1.2,1.2,1.733333333,1.766666667,2.333333333,4.333333333,1.633333333,2.066666667,2.433333333,1.3,1.566666667,3.633333333,2.733333333,1.566666667,2.166666667,1.8,1.7,1.166666667,1.233333333,2.2,3.533333333,1.466666667,1.233333333,1.166666667,1.2,1.8,1.333333333,1.6,3.966666667,2.966666667
海洋,6.733333333,5.066666667,2.566666667,6.333333333,4.2,6.533333333,1.233333333,2.7,4.8,4.266666667,1.3,1.2,2.266666667,1.4,4.8,1.066666667,5.933333333,1.933333333,3.3,3.966666667,2.866666667,3.366666667,3.4,1.266666667,1.2,1.433333333,2.266666667,6.033333333,1.933333333,4.833333333,2.066666667,1.5,1.833333333,1.8,1.166666667,6.066666667,1.233333333,1.6,2.866666667,1.733333333,1.566666667,1.233333333,1.133333333,3.166666667,3.2,1.333333333,1.266666667,1.266666667,1.666666667,1.966666667,1.566666667,3.066666667,3.466666667,2.433333333
害怕,4.133333333,1.433333333,3.466666667,2.233333333,1.933333333,2.433333333,3,1.733333333,2.766666667,0,3.966666667,2.6,1.466666667,1.266666667,2.966666667,1.866666667,1.633333333,2.433333333,1.8,1.766666667,1.2,1.033333333,1.2,2.4,1.266666667,1.3,3.066666667,2.1,1.166666667,1.533333333,3.1,1.5,1.566666667,1.1,1.266666667,2.033333333,5.033333333,4.033333333,4.1,4,2.266666667,3.333333333,4.5,1.366666667,1.233333333,4.333333333,2.333333333,2.633333333,6.833333333,3.166666667,2.3,2.233333333,4.166666667,5.533333333
焊接,6.266666667,4.866666667,1.833333333,3.666666667,4.866666667,2.666666667,4.233333333,3.3,2.6,0,1.533333333,3.966666667,2.7,6.066666667,1.133333333,2.766666667,3.266666667,1.866666667,4.1,4.433333333,1.666666667,1.133333333,3.266666667,1.266666667,4.866666667,1.566666667,2.6,2.466666667,2.033333333,4.133333333,5.233333333,3,1.433333333,1.933333333,2.366666667,2.133333333,4.833333333,6,4.3,5.433333333,1.6,1.666666667,1.933333333,2.4,1.5,1.466666667,1.4,1.366666667,1.4,1.233333333,2.333333333,1.566666667,2.5,1.6
豪华,5.1,3.533333333,1.733333333,3,2.833333333,4.466666667,1.733333333,1.7,2.733333333,0,1.4,1.6,1.5,1.8,1.466666667,1.233333333,2.966666667,1.2,1.533333333,1.566666667,1.833333333,1.2,1.433333333,1.4,1,1,0,1.466666667,1,3.533333333,1.1,1.166666667,1.033333333,1.1,1.133333333,1.766666667,3.1,0,3.233333333,3.733333333,1.933333333,2.066666667,1.666666667,3.4,4.033333333,1.2,1.266666667,1.366666667,1.266666667,2.066666667,2.066666667,1.933333333,4.933333333,2.833333333
号码,5.233333333,2.066666667,2.066666667,2.233333333,1.866666667,1.433333333,4.4,1.3,5.1,1.666666667,1.066666667,1.133333333,1.1,1.1,1.4,2.133333333,1.066666667,1.066666667,1.166666667,1.533333333,1.566666667,1,1,2,1.633333333,1.033333333,4.966666667,1.2,1.266666667,1.733333333,2.966666667,1.666666667,1.4,3.5,1.066666667,2.9,3.1,2.866666667,2.266666667,3,3.6,1.833333333,1.666666667,2.566666667,1.733333333,1.266666667,1.3,1.3,1.233333333,1.366666667,1.466666667,2.633333333,1.933333333,1.466666667
合格,3.433333333,1.866666667,2,1.833333333,2.1,2.133333333,2.533333333,1.633333333,2.933333333,0,1.5,2.333333333,1.4,1.333333333,1.333333333,1.833333333,1.6,1.2,1.1,1.6,1.866666667,1.8,1.566666667,1.366666667,1.5,1.733333333,0,1.066666667,1.3,1.366666667,1.533333333,1.233333333,1.133333333,2.2,1.233333333,2,2.866666667,0,2.9,4.233333333,2.2,3.533333333,2.566666667,4.333333333,3.5,1.266666667,1.333333333,1.3,1.1,1.266666667,2.333333333,4.566666667,1.9,1.633333333
合作,4.733333333,2.133333333,1.833333333,1.833333333,2.066666667,2.733333333,2.633333333,1.7,3.3,0,1.7,2.166666667,1.633333333,1.7,1.366666667,1.666666667,1.933333333,1.166666667,1.866666667,1.9,1.3,1.1,1.166666667,1.733333333,1.733333333,1.633333333,3.833333333,2.266666667,1.833333333,1.833333333,3.066666667,2.6,1.466666667,2.166666667,2.333333333,3.433333333,3.5,4.333333333,4.6,5.266666667,5.133333333,5.166666667,4.433333333,5.333333333,4.333333333,1.3,1.433333333,1.3,1.2,1.533333333,4.633333333,4.2,3.066666667,2.5
核心,2.933333333,2.833333333,2.133333333,1.966666667,1.566666667,1.933333333,3.633333333,1.4,4.7,2.266666667,1.133333333,1.333333333,1.233333333,1.733333333,1.433333333,1.933333333,1.533333333,1.266666667,1.233333333,1.1,1.1,1,1,1.033333333,1.1,1.033333333,2.2,1.566666667,1.166666667,1.433333333,1.8,1.4,1.366666667,1.833333333,1.033333333,2.6,2.233333333,3.433333333,3.533333333,3.833333333,2.133333333,2.366666667,2.666666667,2.966666667,2.533333333,1.3,1.233333333,1.233333333,1.266666667,1.6,2.333333333,2.5,2.8,2.233333333
盒子,6.833333333,2.733333333,2.7,3.266666667,2.933333333,2.066666667,4.833333333,1.3,6.633333333,2.433333333,1.266666667,1.266666667,4.9,1.466666667,2.633333333,4.6,1.933333333,1.133333333,1.466666667,1.833333333,1.233333333,1.466666667,1.266666667,1.2,2.1,1.166666667,5.133333333,1.366666667,1.166666667,2.233333333,3.733333333,2.6,2.233333333,1.5,1.133333333,2.5,2.9,3.2,2.3,2.833333333,1.433333333,1.266666667,1.2,2.7,2.133333333,1.3,1.366666667,1.3,1.133333333,1.266666667,1.2,2.666666667,1.733333333,1.4
黑,6.766666667,1.333333333,6.666666667,7,4.5,2.8,2.4,1.3,3.133333333,0,3.833333333,4.1,1.166666667,1.166666667,2.233333333,1.466666667,1.866666667,1.9,1.066666667,1.2,1.166666667,1.066666667,1,1.833333333,1.9,1.533333333,0,1.2,1.033333333,3.166666667,1.333333333,1.133333333,1.133333333,1.6,1.266666667,1.633333333,2.1,0,2.566666667,1.833333333,1.4,2.033333333,1.333333333,1.366666667,1.333333333,2.966666667,2.1,2.233333333,3.466666667,1.733333333,1.866666667,1.5,2.6,1.7
黑暗,5.666666667,1.266666667,6.766666667,6.7,3.833333333,3.1,2.033333333,1.2,3.6,0,1.6,1.7,1.133333333,1.2,2.6,1.366666667,2.1,2.3,1.2,1.5,2.133333333,1.533333333,1.4,1.3,1,1,0,1.5,1.533333333,3.833333333,1.3,1.2,1.333333333,1.5,1.4,1.666666667,3.1,0,3.933333333,2.166666667,1.866666667,1.833333333,2.533333333,1.333333333,1.2,3.6,2.8,3.933333333,5.2,2.8,2.2,1.4,3.2,2.233333333
胡同,6.533333333,2.4,3.6,3.966666667,3.133333333,3.933333333,2.2,1.133333333,6.633333333,3.8,1.366666667,1.233333333,1.833333333,1.333333333,2.4,1.3,3.766666667,1.266666667,2.533333333,1.933333333,1.6,1.433333333,1.5,1.066666667,1.133333333,2.2,2.433333333,5.133333333,1.8,4.133333333,2.366666667,1.333333333,1.333333333,1.233333333,1.1,4.633333333,1.833333333,3.233333333,2.133333333,2.533333333,1.966666667,1.166666667,1.233333333,2,2.266666667,1.4,1.366666667,1.466666667,1.5,1.266666667,1.2,1.566666667,1.866666667,1.466666667
胡子,6.833333333,2.466666667,4.2,5.466666667,3.766666667,1.466666667,5.933333333,1.366666667,6.033333333,2.133333333,2.166666667,3.266666667,5.466666667,1.766666667,2.066666667,5.666666667,1.333333333,1.866666667,1.5,1.266666667,1.1,1.266666667,1.4,2.833333333,2.233333333,1,2.5,1.466666667,1.533333333,3.133333333,5.166666667,2.366666667,2.8,1.533333333,1.766666667,2.433333333,3.666666667,2.366666667,2,1.9,1.466666667,4.233333333,1.1,1.6,1.633333333,1.533333333,1.866666667,1.966666667,1.333333333,1.3,1.566666667,1.333333333,1.966666667,1.2
湖泊,6.7,4.833333333,1.833333333,5.666666667,3.6,5.766666667,1.6,1.666666667,5.733333333,3.466666667,1.266666667,1.033333333,2.033333333,1.266666667,4.466666667,1.133333333,5.633333333,1.466666667,2.1,2.4,2.066666667,2.2,2.1,1.166666667,1.233333333,1.266666667,2.533333333,5.466666667,1.3,4.133333333,2.3,1.366666667,1.433333333,1.4,1.133333333,5.133333333,1.833333333,2.1,2.1,1.5,1.333333333,1.166666667,1.133333333,2.4,2.966666667,1.3,1.233333333,1.3,1.5,1.466666667,1.233333333,2.233333333,2.9,1.9
花朵,6.933333333,5.1,1.533333333,3.833333333,4.7,1.633333333,5.6,1.566666667,6.4,3.3,1.333333333,1.5,5.533333333,1.633333333,2.233333333,5.866666667,1.533333333,1.3,1.333333333,1.366666667,1.133333333,4.433333333,5.433333333,1.733333333,1.7,1.1,4.066666667,2.1,1.333333333,3.333333333,3.666666667,2.466666667,1.866666667,1.566666667,2.3,2.1,3.966666667,2.133333333,2.1,1.766666667,1.633333333,1.4,1.266666667,3.233333333,4.533333333,1.4,1.133333333,1.166666667,1.1,1.466666667,1.766666667,2.6,3.066666667,2.266666667
花费,4.733333333,1.6,2.366666667,1.833333333,1.7,2.266666667,3.566666667,2.066666667,2.666666667,0,1.466666667,2.133333333,1.466666667,1.333333333,1.466666667,2.166666667,1.7,1.433333333,1.6,1.333333333,1.066666667,1.3,1.233333333,1.266666667,1.966666667,1.1,4.133333333,1.8,1.666666667,2.033333333,3.3,1.766666667,3.1,1.366666667,1.4,1.633333333,4.466666667,4.133333333,3.666666667,4.966666667,2.133333333,3.633333333,2.266666667,2.233333333,2.1,1.866666667,2.066666667,1.733333333,1.333333333,1.566666667,3.066666667,3.8,2.633333333,2.266666667
化妆,6.5,3.066666667,1.733333333,4.933333333,5,2.033333333,4.366666667,2.2,4.533333333,0,5,4.633333333,5.033333333,1.766666667,1.633333333,3.4,1.666666667,1.2,1.6,1.8,1.1,1.2,3.166666667,3.666666667,5.4,1.066666667,4.9,2.766666667,1.433333333,4.566666667,5.933333333,4.7,1.566666667,1.366666667,4.266666667,2.133333333,4.233333333,5.166666667,4,5.8,2.833333333,4.233333333,2.866666667,4.166666667,4.533333333,1.333333333,1.333333333,1.5,1.066666667,1.8,3.5,3.033333333,3.7,2.466666667
化妆品,6.666666667,4.5,1.833333333,3.5,2.466666667,1.733333333,5.1,1.3,6.3,4.2,1.633333333,1.433333333,4.366666667,1.733333333,2.9,4.533333333,1.8,1.3,1.366666667,1.466666667,1.133333333,3.766666667,4.133333333,3.466666667,4.6,1.1,5.033333333,1.5,1.133333333,4.433333333,5.033333333,4.4,2,1.433333333,2.266666667,2.366666667,3.533333333,4.2,3.833333333,4.466666667,2.466666667,2.866666667,1.9,4.3,4.2,1.233333333,1.3,1.4,1.3,1.6,2.866666667,3.333333333,3.1,2.533333333
怀孕,5.333333333,2.066666667,1.766666667,2.333333333,3.666666667,2.633333333,3.2,1.566666667,3.833333333,0,1.7,3,2.8,2.666666667,1.4,1.833333333,2.833333333,2.666666667,1.666666667,1.633333333,1.066666667,1.333333333,1.666666667,1.166666667,1.533333333,1.333333333,2.066666667,1.7,1.3,2.433333333,4,3.166666667,1.5,3.233333333,4.966666667,3.8,2.766666667,6.266666667,5.466666667,4.633333333,2.366666667,2.5,2.066666667,3.133333333,3.633333333,1.666666667,1.566666667,1.5,1.833333333,2.8,3.7,2.233333333,4.533333333,4.166666667
荒地,6.166666667,2.566666667,4.033333333,4.233333333,2.8,5.1,1.766666667,1.1,6.566666667,3.166666667,1.3,1.166666667,1.633333333,1.2,3.266666667,1.2,4.7,1.9,1.533333333,1.466666667,1.2,1.433333333,1.5,1.033333333,1.433333333,1.8,1.866666667,4.2,1.1,2.9,1.933333333,1.4,1.333333333,1.066666667,1.133333333,4.2,1.833333333,3.3,2.933333333,1.8,1.466666667,1.2,1.2,1.766666667,1.5,3.466666667,2.066666667,2.466666667,2.666666667,1.566666667,1.7,1.3,1.766666667,1.333333333
荒废,4.466666667,1.433333333,4.133333333,2.966666667,3.1,4.1,2.1,1.5,4.133333333,0,1.3,1.4,1.166666667,1.233333333,2.733333333,1.433333333,2.366666667,1.766666667,1.2,1.233333333,1,1.033333333,1.633333333,1.266666667,1.166666667,1.1,1.933333333,1.566666667,1.233333333,1.833333333,2.2,1.366666667,2.1,1.033333333,1.366666667,4.533333333,2.966666667,4.8,3.9,3.233333333,1.466666667,1.5,1.8,1.266666667,1.2,3.933333333,3.3,3.666666667,2.6,1.9,1.833333333,1.266666667,2.333333333,2.133333333
皇宫,6.566666667,5.433333333,1.566666667,4.466666667,3.466666667,5.333333333,1.666666667,1.233333333,6.866666667,5.933333333,1.766666667,1.433333333,2.1,1.766666667,2.933333333,1.166666667,6.433333333,1.433333333,2.366666667,2.4,2.633333333,1.533333333,1.566666667,1.4,1.433333333,1.333333333,1.433333333,6.366666667,1.266666667,5.233333333,1.533333333,1.333333333,1.666666667,1.666666667,1.233333333,5,1.7,4.233333333,2.633333333,4.033333333,2.266666667,1.4,1.866666667,2.466666667,2.533333333,1.533333333,1.533333333,1.333333333,1.2,2.133333333,1.5,1.3,4.1,3.066666667
黄,6.7,3.533333333,1.833333333,7,4.566666667,2.4,2.833333333,1.4,2.6,0,2.9,3.333333333,1.1,1.5,1.333333333,1.666666667,1.533333333,1.466666667,1.2,1.1,1.033333333,1,1,1.7,1.333333333,1.133333333,0,1.066666667,1,2.066666667,1.1,1.1,1.033333333,1.066666667,1.166666667,1.2,2.766666667,0,1.933333333,1.5,1.5,1.566666667,1.333333333,1.3,1.466666667,1.733333333,1.7,2.066666667,1.533333333,1.6,1.533333333,1.466666667,2.4,1.466666667
蝗虫,6.633333333,2.733333333,3.366666667,5.566666667,4.7,1.6,6.033333333,4,2.966666667,3.9,2.333333333,2.6,3.9,2.133333333,2.2,5.8,1.433333333,2.733333333,3.133333333,3.5,2.166666667,1.933333333,2,1.5,1.266666667,1.233333333,1.666666667,1.333333333,2.066666667,3,1.633333333,2.166666667,2.9,1.366666667,1.833333333,2.1,4,2,4.566666667,1.8,1.333333333,1.1,1.1,1.1,1.066666667,3.4,4.466666667,5.333333333,4.8,3.3,1.733333333,1.066666667,3.3,2.866666667
灰尘,5.7,1.966666667,4.166666667,5.433333333,2.633333333,1.2,6.9,2.4,4.366666667,1.7,1.1,1.066666667,2.2,1.233333333,1.833333333,6.633333333,1.133333333,2.1,1.166666667,1.033333333,1.033333333,2.433333333,2.633333333,1.433333333,1.533333333,1.133333333,2.866666667,1.166666667,1.233333333,1.966666667,5.066666667,2.666666667,3.133333333,1.033333333,1.033333333,2.7,3.433333333,2.366666667,2.933333333,1.466666667,1.333333333,1.233333333,1.133333333,1.266666667,1.233333333,2.1,3.133333333,3,1.733333333,1.066666667,2.133333333,1.166666667,1.266666667,1.4
徽章,6.6,4.9,1.866666667,3.566666667,3.9,1.466666667,5.8,1.233333333,6.533333333,3.433333333,1.433333333,1.3,5.133333333,1.6,3.1,5.566666667,1.533333333,1.233333333,1.266666667,1.366666667,1.166666667,1.233333333,1.133333333,1.033333333,2.033333333,1.033333333,2.9,1.466666667,1.1,2.9,2.866666667,2.866666667,2.1,1.666666667,1.3,3.333333333,1.966666667,4.6,2.8,3.9,2.466666667,2.666666667,2.2,3.2,3.8,1.233333333,1.2,1.233333333,1.2,2.033333333,2.266666667,1.9,3.366666667,2.733333333
回报,3.766666667,2.4,1.666666667,1.833333333,1.866666667,2.566666667,3.033333333,1.766666667,3.3,0,1.533333333,1.833333333,1.533333333,1.5,1.266666667,2.233333333,1.733333333,1.133333333,1.366666667,1.433333333,1.2,1.166666667,1.066666667,1.466666667,1.466666667,1.166666667,2.633333333,1.8,1.4,1.533333333,2.5,2.233333333,1.966666667,1.166666667,1.433333333,2.733333333,3.6,4.233333333,4.033333333,4.466666667,3.366666667,4.4,2.9,5.4,4.866666667,1.366666667,1.233333333,1.2,1.2,1.733333333,3.466666667,3.133333333,3,2.866666667
会议,5.266666667,2.433333333,2.1,1.733333333,1.7,2.233333333,2.633333333,1.366666667,5.066666667,2.7,1.766666667,1.466666667,1.133333333,1.366666667,1.6,1.5,1.8,1.266666667,3.6,3.5,2.3,1.166666667,1.166666667,2.7,1.733333333,1.433333333,2.866666667,1.633333333,1.1,3,2.6,1.466666667,1.4,1.433333333,4.166666667,1.866666667,3.666666667,5.3,4.633333333,5.9,6.266666667,1.7,4.266666667,3.533333333,1.933333333,1.8,2.366666667,2.4,1.9,1.966666667,4.066666667,2.2,3.166666667,2.333333333
绘画,5.5,4,1.833333333,2.9,3.333333333,1.933333333,3.833333333,1.566666667,5.533333333,3.633333333,1.6,1.5,1.9,1.533333333,1.733333333,3.166666667,1.466666667,1.233333333,1.433333333,1.733333333,1.233333333,1.366666667,1.9,1.333333333,5.566666667,1.066666667,3.566666667,1.1,1.366666667,2.3,2.666666667,2.266666667,1.933333333,1.1,2.166666667,2.433333333,3.1,3.966666667,2.866666667,4.066666667,3.433333333,2.4,4.133333333,3,3.966666667,1.666666667,1.4,1.433333333,1.3,1.966666667,2.333333333,2.133333333,3.233333333,2.566666667
贿赂,4.866666667,1.3,3.8,1.833333333,1.8,2.633333333,3.133333333,1.833333333,2.9,0,1.933333333,2.6,1.7,1.266666667,1.933333333,2,2.166666667,1.7,2,2.033333333,1.066666667,1.233333333,1.166666667,2.033333333,2.233333333,1.266666667,1.7,2.033333333,1.666666667,2.166666667,3.033333333,2.166666667,2.633333333,1.433333333,1.2,2.3,4.066666667,4.9,5.433333333,6.4,4.633333333,1.433333333,3.9,1.333333333,1.233333333,2.4,5.566666667,5.933333333,2.966666667,3.366666667,4.666666667,1.166666667,3.666666667,3.433333333
火箭,6.6,5.233333333,1.866666667,4.866666667,3.933333333,5.666666667,1.533333333,6.566666667,1.3,6.3,1.3,1.3,3.5,5.666666667,1.766666667,1.233333333,6.366666667,1.966666667,5.7,5.666666667,2.3,1.933333333,2.1,1.2,1.7,1.3,1.566666667,2.3,6.966666667,5.033333333,1.3,1.5,5.233333333,1.833333333,2.7,2.633333333,4.6,4.866666667,3.6,4.2,2.033333333,1.2,1.566666667,2.9,2.366666667,1.366666667,1.366666667,1.333333333,1.566666667,3.033333333,1.666666667,1.766666667,5.433333333,3.166666667
货币,6.3,3.766666667,2.166666667,3.466666667,3.6,1.766666667,5.433333333,1.533333333,5,2.6,1.8,1.333333333,4.2,1.3,2.633333333,4.266666667,1.766666667,1.166666667,1.533333333,2.033333333,1.3,1.6,1.833333333,1.166666667,2.566666667,1.066666667,6.3,1.566666667,1.4,2.1,4.366666667,3.033333333,3.333333333,2.066666667,1.366666667,4.633333333,2.266666667,4.5,3.733333333,4.766666667,3.6,2,1.866666667,4.766666667,3.466666667,1.3,1.466666667,1.133333333,1.166666667,1.4,3,5,3.766666667,2.8
击败,4.833333333,1.7,2.733333333,2.033333333,2.4,3,2.633333333,2.533333333,2.266666667,0,1.733333333,3.366666667,2.2,1.966666667,1.8,1.8,2.533333333,2.9,2.8,2.166666667,1.066666667,1.033333333,1,1.3,2.233333333,2.133333333,2.233333333,2.233333333,1.866666667,2,3.333333333,2.233333333,2.166666667,1.466666667,1.433333333,2.066666667,4.833333333,5.433333333,5.033333333,4.866666667,2.966666667,3.366666667,2.7,3.333333333,3.866666667,2.233333333,2.033333333,1.9,2,2.7,4.333333333,2.1,3.966666667,4.1
机智,3.1,2.666666667,1.666666667,1.933333333,1.7,2.2,2.666666667,2.1,1.966666667,0,2.433333333,2.066666667,1.1,1.366666667,1.266666667,1.8,1.5,1.133333333,1.333333333,2.533333333,1.5,1,1.033333333,2.3,1.466666667,1.5,0,1,1.1,1.033333333,1.266666667,1.266666667,1.033333333,1.1,1.2,1.266666667,3.333333333,0,4.266666667,5.366666667,4.466666667,5.4,6.266666667,5.233333333,4.533333333,1.1,1.2,1.2,1.066666667,2.033333333,2.933333333,4.066666667,3.866666667,2.333333333
积极,3.1,2.733333333,1.566666667,2.3,1.633333333,2.6,2.466666667,2.833333333,1.933333333,0,2.466666667,2.033333333,1.233333333,1.9,1.133333333,1.633333333,1.333333333,1.2,1.9,2.933333333,3.266666667,1.033333333,1.233333333,2.5,1.5,1.766666667,0,1.033333333,1.033333333,1.2,1.333333333,2.366666667,1.066666667,1,1.166666667,1.666666667,3.6,0,4.633333333,5.3,4.733333333,5.266666667,5.333333333,5.133333333,5.6,1.1,1.066666667,1.066666667,1.1,1.6,5.533333333,4.733333333,4.333333333,4.4
急切,3.333333333,1.766666667,2.4,2.433333333,1.8,1.766666667,2.5,4.2,1.6,0,2.766666667,2,1.266666667,2.233333333,1.433333333,1.733333333,1.533333333,2.033333333,2.9,4.066666667,2.533333333,1.033333333,1.066666667,4.133333333,2.066666667,3.033333333,0,1,1.133333333,1.033333333,1.566666667,2.333333333,1.466666667,1.266666667,2.266666667,1.1,5.666666667,0,5.066666667,5.333333333,4.433333333,3.466666667,4.966666667,1.7,1.733333333,2.2,3.433333333,2.666666667,2.266666667,2.5,6.533333333,2.533333333,4.433333333,5.866666667
